,Port Number,Description
0,0,Reserved
1,0,Reserved
2,1,TCP Port Service Multiplexer
3,1,TCP Port Service Multiplexer
4,2,Management Utility
5,2,Management Utility
6,3,Compression Process
7,3,Compression Process
8,4,Unassigned
9,4,Unassigned
10,5,Remote Job Entry
11,5,Remote Job Entry
12,6,Unassigned
13,6,Unassigned
14,7,Echo
15,7,Echo
16,8,Unassigned
17,8,Unassigned
18,9,Discard
19,9,Discard
20,9,Discard
21,9,Discard
22,10,Unassigned
23,10,Unassigned
24,11,Active Users
25,11,Active Users
26,12,Unassigned
27,12,Unassigned
28,13,Daytime
29,13,Daytime
30,14,Unassigned
31,14,Unassigned
32,15,Unassigned [was netstat]
33,15,Unassigned
34,16,Unassigned
35,16,Unassigned
36,17,Quote of the Day
37,17,Quote of the Day
38,18,Message Send Protocol (historic)
39,18,Message Send Protocol (historic)
40,19,Character Generator
41,19,Character Generator
42,20,File Transfer [Default Data]
43,20,File Transfer [Default Data]
44,20,FTP
45,21,File Transfer Protocol [Control]
46,21,File Transfer Protocol [Control]
47,21,FTP
48,22,The Secure Shell (SSH) Protocol
49,22,The Secure Shell (SSH) Protocol
50,22,SSH
51,23,Telnet
52,23,Telnet
53,24,any private mail system
54,24,any private mail system
55,25,Simple Mail Transfer
56,25,Simple Mail Transfer
57,26,Unassigned
58,26,Unassigned
59,27,NSW User System FE
60,27,NSW User System FE
61,28,Unassigned
62,28,Unassigned
63,29,MSG ICP
64,29,MSG ICP
65,30,Unassigned
66,30,Unassigned
67,31,MSG Authentication
68,31,MSG Authentication
69,32,Unassigned
70,32,Unassigned
71,33,Display Support Protocol
72,33,Display Support Protocol
73,34,Unassigned
74,34,Unassigned
75,35,any private printer server
76,35,any private printer server
77,36,Unassigned
78,36,Unassigned
79,37,Time
80,37,Time
81,38,Route Access Protocol
82,38,Route Access Protocol
83,39,Resource Location Protocol
84,39,Resource Location Protocol
85,40,Unassigned
86,40,Unassigned
87,41,Graphics
88,41,Graphics
89,42,Host Name Server
90,42,Host Name Server
91,42,Host Name Server
92,42,Host Name Server
93,43,Who Is
94,43,Who Is
95,44,MPM FLAGS Protocol
96,44,MPM FLAGS Protocol
97,45,Message Processing Module [recv]
98,45,Message Processing Module [recv]
99,46,MPM [default send]
100,46,MPM [default send]
101,47,NI FTP
102,47,NI FTP
103,48,Digital Audit Daemon
104,48,Digital Audit Daemon
105,49,Login Host Protocol (TACACS)
106,49,Login Host Protocol (TACACS)
107,50,Remote Mail Checking Protocol
108,50,Remote Mail Checking Protocol
109,51,Reserved
110,52,XNS Time Protocol
111,52,XNS Time Protocol
112,53,Domain Name Server
113,53,Domain Name Server
114,54,XNS Clearinghouse
115,54,XNS Clearinghouse
116,55,ISI Graphics Language
117,55,ISI Graphics Language
118,56,XNS Authentication
119,56,XNS Authentication
120,57,any private terminal access
121,57,any private terminal access
122,58,XNS Mail
123,58,XNS Mail
124,59,any private file service
125,59,any private file service
126,60,Unassigned
127,60,Unassigned
128,61,NI MAIL
129,61,NI MAIL
130,62,ACA Services
131,62,ACA Services
132,63,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
133,63,whois++
134,63,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
135,63,whois++
136,64,Communications Integrator (CI)
137,64,Communications Integrator (CI)
138,65,TACACS-Database Service
139,65,TACACS-Database Service
140,66,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
141,66,Oracle SQL*NET
142,66,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
143,66,Oracle SQL*NET
144,67,Bootstrap Protocol Server
145,67,Bootstrap Protocol Server
146,68,Bootstrap Protocol Client
147,68,Bootstrap Protocol Client
148,69,Trivial File Transfer
149,69,Trivial File Transfer
150,70,Gopher
151,70,Gopher
152,71,Remote Job Service
153,71,Remote Job Service
154,72,Remote Job Service
155,72,Remote Job Service
156,73,Remote Job Service
157,73,Remote Job Service
158,74,Remote Job Service
159,74,Remote Job Service
160,75,any private dial out service
161,75,any private dial out service
162,76,Distributed External Object Store
